sql,label
"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id=7 AND mi_idx.info_type_id>99",283812
SELECT COUNT(*) FROM title t WHERE t.production_year>2004,1107925
"SELECT COUNT(*) FROM title t,movie_companies mc,cast_info ci,movie_info mi WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.id=mi.movie_id AND mc.company_id<27 AND mi.info_type_id=16",11306022
SELECT COUNT(*) FROM movie_info_idx mi_idx WHERE mi_idx.info_type_id<100,459925
"SELECT COUNT(*) FROM title t,cast_info ci,movie_info mi,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mi.info_type_id>15",44007524882
"SELECT COUNT(*) FROM title t,movie_companies mc,cast_info ci,movie_info mi,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year<1999 AND mc.company_type_id=2 AND mi_idx.info_type_id=100",281934531
SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id<5990,2476485
"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id>2282",2973114
SELECT COUNT(*) FROM movie_info mi WHERE mi.info_type_id=3,1533909
"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id",2609129
SELECT COUNT(*) FROM movie_info_idx mi_idx WHERE mi_idx.info_type_id>100,460185
"SELECT COUNT(*) FROM title t,movie_info mi,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.kind_id<7 AND t.production_year=1994 AND mi.info_type_id>8",9067075
SELECT COUNT(*) FROM title t WHERE t.production_year=2007,119565
