sql,label
SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id=172968,838
"SELECT COUNT(*) FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<3 AND t.production_year=2008 AND mi.info_type_id>2",297013
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<3194645",31427248
"SELECT COUNT(*) FROM title t,cast_info ci,movie_info mi WHERE t.id=ci.movie_id AND t.id=mi.movie_id AND ci.person_id=1742124 AND ci.role_id>2 AND mi.info_type_id<7",12
"SELECT COUNT(*) FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year>0 AND ci.role_id=2 AND mi_idx.info_type_id=101",733244
"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<2000 AND mc.company_id=160 AND mc.company_type_id=2",515
"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id<77942 AND mc.company_type_id>1",1141529
SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id<71692,4344670
"SELECT COUNT(*) FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id>681261 AND ci.role_id>1 AND mi_idx.info_type_id=99",7987245
SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<9749 AND mc.company_type_id>1,381253
"SELECT COUNT(*) FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND mc.company_id=43268 AND mk.keyword_id<2560",46
SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id>1278953 AND ci.role_id<2,3311512
"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<1029",1038381
"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<7 AND mc.company_id>83328 AND mi.info_type_id<8",2706674
"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year=1994 AND mc.company_id>50785 AND mc.company_type_id>1",3495
SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<80833 AND mc.company_type_id=1,1274246
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<2945474 AND ci.role_id=2",7451973
SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>2237,2990419
"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id>4 AND t.production_year<2004 AND mc.company_id<5363",267611
"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=7 AND t.production_year=2013 AND mc.company_id<239 AND mc.company_type_id<2",3303
"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id=62398",8
"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id<213849 AND mc.company_type_id>1",1312009
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id>284738",33316050
"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND mk.keyword_id<80578",4416021
"SELECT COUNT(*) FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year>1978 AND mi.info_type_id=3",1215398
"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info mi WHERE t.id=mc.movie_id AND t.id=mi.movie_id AND t.kind_id<4 AND t.production_year=1966 AND mc.company_id<7563 AND mc.company_type_id=2 AND mi.info_type_id>6",11017
SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id<1436321,14570665
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=2610477 AND ci.role_id<3",325
"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id=43276 AND mc.company_type_id>1",143
SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id>1127 AND mc.company_type_id=1,789644
"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.production_year<1996",1214571
"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year=2008 AND mi_idx.info_type_id=101",136323
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id>1 AND ci.person_id<2769705 AND ci.role_id<3",14469750
"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mk.keyword_id>40491",1011676
"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.production_year<2007 AND mk.keyword_id>19735",714822
"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND mi_idx.info_type_id=100 AND mk.keyword_id>430",3056412
"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.role_id=4 AND mk.keyword_id=2830",5629
SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>19819,956615
"SELECT COUNT(*) FROM title t,movie_keyword mk WHERE t.id=mk.movie_id AND t.kind_id<7 AND t.production_year>2011 AND mk.keyword_id=4755",2
SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id<11393 AND mc.company_type_id>1,435786
"SELECT COUNT(*) FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.production_year<1965 AND mi.info_type_id<90",2929788
"SELECT COUNT(*) FROM title t,movie_info mi,movie_keyword mk WHERE t.id=mi.movie_id AND t.id=mk.movie_id AND t.kind_id>3 AND t.production_year<2011 AND mi.info_type_id<18",11216419
"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND mc.company_id>213",2235039
"SELECT COUNT(*) FROM title t,movie_companies mc,cast_info ci WHERE t.id=mc.movie_id AND t.id=ci.movie_id AND mc.company_id=27 AND mc.company_type_id=1 AND ci.person_id<1265390",96573
SELECT COUNT(*) FROM movie_companies mc WHERE mc.company_id>868 AND mc.company_type_id=2,1152615
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.production_year<2006 AND ci.person_id>473664 AND ci.role_id=2",4172273
"SELECT COUNT(*) FROM title t,movie_companies mc WHERE t.id=mc.movie_id AND t.kind_id<4 AND t.production_year>1910 AND mc.company_id>1461 AND mc.company_type_id=2",709850
"SELECT COUNT(*) FROM title t,movie_companies mc,movie_keyword mk WHERE t.id=mc.movie_id AND t.id=mk.movie_id AND t.kind_id>1 AND t.production_year=1995 AND mc.company_id>4436 AND mk.keyword_id>12216",15207
"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<4 AND t.production_year<1961 AND mc.company_id>17484 AND mc.company_type_id=1",42883
"SELECT COUNT(*) FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND t.kind_id=1 AND t.production_year<1959",2889401
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=1 AND t.production_year=2000 AND ci.person_id>1066564 AND ci.role_id=3",12001
"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id<7 AND t.production_year>1961 AND mi_idx.info_type_id<101",549622
"SELECT COUNT(*) FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.kind_id<7 AND t.production_year=1994 AND mi.info_type_id>17",22900
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id=3587349",33
"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx WHERE t.id=mi_idx.movie_id AND t.kind_id>4 AND t.production_year<2005 AND mi_idx.info_type_id<101",175118
"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id>2678609 AND ci.role_id=2 AND mk.keyword_id<1776",222131
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND ci.person_id<2043231 AND ci.role_id>1",7657830
"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND mc.company_id<11373",2192596
"SELECT COUNT(*) FROM title t,cast_info ci,movie_keyword mk WHERE t.id=ci.movie_id AND t.id=mk.movie_id AND ci.person_id>2869415 AND ci.role_id>9 AND mk.keyword_id<2980",14887750
SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id=34013,39
SELECT COUNT(*) FROM movie_keyword mk WHERE mk.keyword_id>26476,712963
"SELECT COUNT(*) FROM title t,movie_companies mc,movie_info_idx mi_idx WHERE t.id=mc.movie_id AND t.id=mi_idx.movie_id AND t.kind_id<7 AND mc.company_id=3232 AND mc.company_type_id=1",12
SELECT COUNT(*) FROM cast_info ci WHERE ci.person_id>1256579,23501220
"SELECT COUNT(*) FROM title t,movie_info_idx mi_idx,movie_keyword mk WHERE t.id=mi_idx.movie_id AND t.id=mk.movie_id AND t.production_year>2012 AND mi_idx.info_type_id>100",12691
"SELECT COUNT(*) FROM title t,movie_info mi,movie_info_idx mi_idx WHERE t.id=mi.movie_id AND t.id=mi_idx.movie_id AND t.kind_id>4 AND t.production_year=2009 AND mi_idx.info_type_id>99",131642
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=1 AND t.production_year=1993",96943
"SELECT COUNT(*) FROM title t,movie_info mi WHERE t.id=mi.movie_id AND t.production_year=2007 AND mi.info_type_id=4",52890
"SELECT COUNT(*) FROM title t,cast_info ci WHERE t.id=ci.movie_id AND t.kind_id=7 AND t.production_year<1990 AND ci.role_id<3",2310810
"SELECT COUNT(*) FROM title t,cast_info ci,movie_info_idx mi_idx WHERE t.id=ci.movie_id AND t.id=mi_idx.movie_id AND ci.person_id=2420177",42
